"대여소
번호",보관소(대여소)명,소재지(위치),,,,"설치
시기",설치형태,,"운영
방식"
00164,북가좌1동 주민센터,서대문구,서울특별시 서대문구 북가좌동 477-1,37.57447815,126.9100494,2016-06-29,10,,LCD
00165,중앙근린공원,서대문구,서울특별시 서대문구 북가좌동 470-1,37.57513809,126.9139404,2016-06-29,20,,LCD
00166,가재울 초등학교,서대문구,서울특별시 서대문구 연희동 530,37.57381821,126.9192352,2016-06-29,20,,LCD
00167,연가초등학교 옆,서대문구,서울특별시 서대문구 북가좌동 70-119,37.57946014,126.9171295,2016-06-29,15,,LCD
00169,북가좌 삼거리,서대문구,서울특별시 서대문구 북가좌동 400,37.57300186,126.9077988,2016-06-29,10,,LCD
00170,DMC파크뷰자이아파트 302동 앞,서대문구,서울특별시 서대문구 남가좌동 124,37.57311249,126.9224472,2016-06-29,10,,LCD
00171,임광빌딩 앞,서대문구,미근동 317-1,37.56472397,126.9672775,2016-06-29,10,,LCD
00173,서대문역 8번출구 앞,서대문구,서울특별시 서대문구 충정로2가 138,37.56477737,126.9661484,2016-06-29,8,,LCD
00175,홍연2교옆,서대문구,서울특별시 서대문구 홍은동 387-16,37.57806778,126.9308853,2016-06-29,20,,LCD
00176,명지대학교 도서관,서대문구,서울특별시 서대문구 거북골로 34,37.58109665,126.9240265,2017-04-24,10,,LCD
00177,북가좌 초등학교,서대문구,서울특별시 서대문구 거북골로19길 20,37.57767487,126.9098053,2016-07-06,8,,LCD
00178,증산3교 앞,서대문구,서울특별시 서대문구 북가좌동 352-9,37.57987595,126.9063492,2016-07-06,10,,LCD
00179,가좌역 4번출구 앞,서대문구,서울특별시 서대문구 남가좌동 293-3 ,37.56912231,126.9147949,2016-06-29,14,,LCD
00180,충정로역 7번출구 아래,서대문구,서울특별시 서대문구 충정로3가 56-1,37.55996704,126.9624634,2016-06-29,10,,LCD
00181,망원초록길 입구,마포구,서울특별시 마포구 마포나루길 467,37.55134201,126.9026718,2016-07-06,15,,LCD
00182,망원2빗물펌프장 앞,마포구,서울특별시?마포구?동교로?8,37.5513649,126.9030609,2021-05-25,,9,QR
00183,하늘채코오롱아파트 건너편,마포구,서울특별시 마포구 연남로 30,37.56516647,126.9193955,2016-07-06,15,,LCD
00184,7번가피자 서교망원점,마포구,서울특별시 마포구 월드컵로 119,37.55894852,126.907753,2016-07-06,9,,LCD
00185,마포 신수공원 앞,마포구,서울특별시 마포구 현석동 106-32,37.54254532,126.9342957,2016-07-06,15,,LCD
00186,월드컵공원,마포구,서울특별시 마포구 하늘공원로 108-1,37.56396484,126.8982086,2016-07-06,,40,QR
00188,홍은동 정원여중 입구,서대문구,서울특별시 서대문구 연희로37안길 51,37.58638763,126.9351273,2021-06-24,,9,QR
00191,서우빌딩,서대문구,서울특별시 서대문구 응암로 66,37.57889175,126.9107361,2016-07-06,10,,LCD
00192,연서어린이공원,서대문구,서울특별시 서대문구 연희동 519-7,37.57222748,126.9230652,2016-07-06,10,,LCD
00194,증산교 앞,서대문구,서울특별시 서대문구 불광천길 36,37.57731628,126.9029694,2016-07-06,10,,LCD
00195,모래내고가차도,서대문구,서울특별시 서대문구 연희동 446-76,37.56765747,126.9178085,2016-07-06,10,,LCD
00196,연희교차로 인근,서대문구,서울특별시 서대문구 홍제천로 48,37.56612015,126.9258957,2016-07-06,10,,LCD
00198,충정2교,서대문구,서울특별시 서대문구 충정로3가 155-4,37.5621376,126.9637756,2016-07-06,,15,QR
00199,서울 월드컵 경기장,마포구,서울특별시 마포구 성산동 515,37.56684494,126.8964462,2016-09-02,30,,LCD
00200,국회의원회관,영등포구,서울특별시 영등포구 의사당대로 1,37.52841568,126.9139175,2015-09-11,,18,QR
00201,진미파라곤 앞,영등포구,서울특별시 영등포구 국회대로76길 10,37.53123856,126.9213333,2022-05-04,,15,QR
00202,국민일보 앞,영등포구,서울특별시 영등포구 여의공원로 101,37.52881622,126.92453,2015-09-11,,30,QR
00203,국회의사당역 3번출구 옆,영등포구,서울특별시 영등포구 국회대로 지하758,37.5280571,126.9187012,2022-05-02,,15,QR
00204,국회의사당역 5번출구 옆,영등포구,서울특별시 영등포구 의사당대로 8,37.52816391,126.9170227,2022-05-02,,13,QR
00205,산업은행 앞,영등포구,서울특별시 영등포구 의사당대로 97,37.52626419,126.9205093,2015-09-17,,20,QR
00206,KBS 앞,영등포구,서울특별시 영등포구 여의공원로 13,37.52466583,126.9180222,2015-09-17,,35,QR
00207,여의나루역 1번출구 앞,영등포구,서울특별시 영등포구 여의동로 지하343,37.52715683,126.9319,2015-09-17,46,,LCD
00209,유진투자증권빌딩 앞,영등포구,서울특별시 영등포구 국제금융로 24,37.52461243,126.9278336,2021-03-25,,12,QR
00211,여의도역 4번출구 옆,영등포구,서울특별시 영등포구 국회대로68길 7,37.52222824,126.9246368,2015-09-17,13,,LCD
00212,여의도역 1번출구 옆,영등포구,서울특별시 영등포구 의사당대로 88,37.5213623,126.9234619,2015-09-17,35,,LCD
00213,KT앞,영등포구,서울특별시 영등포구 여의대로 38,37.52190781,126.9189529,2015-09-17,,19,QR
00214,금융감독원 앞,영등포구,서울특별시 영등포구 여의대로 38,37.5230217,126.9208374,2015-09-17,,21,QR
00215,여의도고교 앞,영등포구,서울특별시 영등포구 국제금융로7길 37,37.52483749,126.934906,2015-09-17,,10,QR
00217,NH농협은행 앞,영등포구,서울특별시 영등포구 국제금융로8길 2,37.52207947,126.9303665,2015-09-17,,9,QR
00219,롯데캐슬엠파이어 옆,영등포구,서울특별시 영등포구 의사당대로 127,37.52069473,126.9258347,2015-09-17,,12,QR
00220,미성아파트 A동 앞,영등포구,서울특별시 영등포구 의사당대로 110,37.5193634,126.9260483,2021-03-24,,30,QR
00221,여의도초교 앞,영등포구,서울특별시 영등포구 여의대방로 439,37.52267456,126.9377899,2015-09-17,,10,QR
00222,시범아파트버스정류장 옆,영등포구,서울특별시 영등포구 63로 45,37.51943588,126.9375992,2020-11-05,,12,QR
00223,진주아파트상가 앞,영등포구,서울특별시 영등포구 국제금융로 108-6,37.51931381,126.9331665,2021-04-12,,20,QR
00224,롯데캐슬 앞,영등포구,서울특별시 영등포구 국제금융로 86,37.5200882,126.9323654,2021-03-23,,20,QR
00225,앙카라공원 앞,영등포구,서울특별시 영등포구 의사당대로 지하166,37.51736832,126.9292526,2015-09-17,,26,QR
00226,샛강역 1번출구 앞,영등포구,서울특별시 영등포구 의사당대로 지하166,37.51776505,126.9284134,2015-09-17,,19,QR
00227,양평2나들목 보행통로 입구,영등포구,서울특별시 영등포구 양화동 17-4,37.54466629,126.8883591,2016-06-29,10,,LCD
00228,선유도역 3번출구 앞,영등포구,서울특별시 영등포구 양평동4가 202-1,37.53845978,126.8945084,2021-03-23,,10,QR
00229,양평1 보행육교 앞,영등포구,서울특별시 영등포구 양평동4가 20-4,37.53587341,126.8921814,2016-06-29,25,,LCD
00230,영등포구청역 1번출구,영등포구,서울특별시 영등포구 당산로 111-2,37.52463531,126.8962174,2016-07-06,10,,LCD
00231,남부고용노동지청 남측,영등포구,서울특별시 영등포구 양평동1가 115-2,37.52450562,126.8918228,2016-06-29,10,,LCD
00232,양평우림 이비즈센타 앞,영등포구,서울특별시 영등포구 양평동3가 14-1,37.52565002,126.8878174,2016-06-29,20,,LCD
00233,양평1동 YP센터 앞,영등포구,서울특별시 영등포구 양평동3가 60-1,37.52848816,126.8916473,2016-06-29,10,,LCD
00234,영등포구민체육센터 앞,영등포구,서울특별시 영등포구 신길동 399 ,37.50046158,126.9058456,2016-06-29,10,,LCD
00235,신길동 우리은행 옆,영등포구,서울특별시 영등포구 신길동 250-4 ,37.50456619,126.9102325,2016-06-29,10,,LCD
00236,문래동자이아파트 앞,영등포구,서울특별시 영등포구 문래동3가 68-1,37.51615524,126.8946152,2016-06-29,10,,LCD
00237,보라매 두산위브 건너편,동작구,서울특별시 영등포구 신길동 4490 ,37.49651337,126.9148026,2016-06-29,20,,LCD
00238,제2구민체육센타 앞,영등포구,서울특별시 영등포구 당산동4가 96-2,37.52638626,126.9027557,2016-06-29,10,,LCD
00239,유스호스텔 앞,영등포구,서울특별시 영등포구 영등포동7가 58-2,37.5258522,126.9032822,2016-06-29,20,,LCD
00240,문래역 4번출구 앞,영등포구,서울특별시 영등포구 문래동3가 55-12 ,37.51873779,126.8955765,2016-06-29,10,,LCD
00241,신길우성1차아파트 앞 공원,영등포구,서울특별시 영등포구 도림동 255-2 ,37.50501633,126.8985367,2021-07-07,,10,QR
00242,신길선원가와인아파트 앞,영등포구,서울특별시 영등포구 신길동 215-28 ,37.51093292,126.9102249,2016-06-29,15,,LCD
00243,이앤씨드림타워 앞,영등포구,서울특별시 영등포구 양평동3가 48-1,37.52708435,126.8913803,2016-06-29,15,,LCD
00244,영등포삼환아파트 앞,영등포구,서울특별시 영등포구 영등포동8가 82-4 ,37.53007889,126.9057083,2016-06-29,20,,LCD
00245,삼성생명 당산사옥 앞,영등포구,서울특별시 영등포구 당산동4가 35-24 ,37.52826309,126.8966293,2016-06-29,10,,LCD
00247,당산역 10번출구 앞,영등포구,서울특별시 영등포구 당산동5가 14-4,37.53368759,126.9021072,2021-11-04,,15,QR
00248,초원아파트 앞,영등포구,서울특별시 영등포구 여의도동8-13,37.53105545,126.9242096,2016-06-29,10,,LCD
00249,여의도중학교 옆,영등포구,서울특별시 영등포구 여의도동 8,37.52434921,126.9361191,2016-06-29,,16,QR
00250,대림아파트 사거리,영등포구,서울특별시 영등포구 신길동 249,37.50764084,126.9230804,2016-06-29,10,,LCD
00251,서울지방병무청 버스정류장,영등포구,서울특별시 영등포구 신길동853,37.50449371,126.9219513,2016-06-29,10,,LCD
00252,보라매역4번출구,영등포구,서울특별시 영등포구 신길동4884,37.49982834,126.9199448,2016-06-29,10,,LCD
00253,신풍역 5번출구 인근,영등포구,서울특별시 영등포구 신길동3596,37.5006485,126.9095154,2016-06-29,10,,LCD
00254,도림신협 앞,영등포구,서울특별시 영등포구 신길동263-76,37.50380325,126.9034195,2016-06-29,10,,LCD
00255,도림사거리,영등포구,서울특별시 영등포구 신길동373-1,37.50657272,126.9011307,2016-06-29,15,,LCD
00256,동아에코빌입구,영등포구,서울특별시 영등포구 도림동 159-70,37.50947571,126.8992996,2016-06-29,10,,LCD
00258,신길역3번출구,영등포구,서울특별시 영등포구 영등포동1가35,37.51769257,126.914299,2016-06-29,14,,LCD
00259,대방역6번출구,영등포구,서울특별시 영등포구 신길동1368,37.51359177,126.9259338,2016-06-29,17,,LCD
00260,여의도 마리나선착장 앞,영등포구,서울특별시 영등포구 여의서로 160,37.53365707,126.9121628,2016-07-06,15,,LCD
00262,영문초등학교 사거리,영등포구,서울특별시 영등포구 문래로 56,37.51992798,126.889183,2016-07-06,12,,LCD
00263,근로자회관 사거리,영등포구,서울특별시 영등포구 선유로 34,37.51715088,126.8886261,2016-07-06,12,,LCD
00264,교보생명보험 앞,영등포구,서울특별시 영등포구 영등포로 96,37.52193069,126.8916168,2016-07-06,15,,LCD
00265,영등포유통상가 사거리,영등포구,서울특별시 영등포구 영등포로 124,37.52113342,126.8965378,2016-07-06,15,,LCD
00266,영등포청과시장 사거리,영등포구,서울특별시 영등포구 영등포로 177,37.52029419,126.9011917,2016-07-06,10,,LCD
00267,삼성화재 사옥 옆,영등포구,서울특별시 영등포구 양평로 76,37.53596115,126.8983002,2016-07-06,10,,LCD
00268,그랜드컨벤션센터 앞,영등포구,서울특별시 영등포구 양평로 58,37.53471756,126.9000015,2016-07-06,6,,LCD
00270,증권거래소후문교차로,영등포구,서울특별시 영등포구 여의나루로 76,37.52234268,126.9271011,2016-07-06,,10,QR
00271,샛강생태공원방문자센터 앞,영등포구,서울특별시 영등포구 여의동로 48,37.51896286,126.9216156,2016-07-06,10,,LCD
00272,당산육갑문,영등포구,서울특별시 영등포구 당산로52길 3,37.53533936,126.9036789,2016-07-06,20,,LCD
00274,영등포역지하쇼핑센타 5번출구,영등포구,서울특별시 영등포구 경인로 846,37.51626968,126.9068604,2017-11-28,10,,LCD
00275,신동아아파트,영등포구,서울특별시 영등포구 선유서로 76,37.52222061,126.885582,2017-11-28,10,,LCD
00276,SK 영등포주유소,영등포구,서울특별시 영등포구 경인로112길 1,37.51828384,126.9126358,2017-11-28,10,,LCD
00277,영등포뉴타운지하상가 2번게이트,영등포구,서울특별시 영등포구 영중로 22,37.52011871,126.9051666,2017-11-28,10,,LCD
00278,쌍용플레티넘오피스텔,영등포구,서울특별시 영등포구 도영로 18,37.50793076,126.8952332,2017-11-28,10,,LCD
00279,영등포 푸르지오 아파트,영등포구,서울특별시 영등포구 도신로29길 28,37.51322937,126.9044647,2021-03-20,,15,QR
00280,양평동6차현대아파트 앞,영등포구,양평동 3가 80-9,37.53210068,126.8944397,2018-09-28,10,,LCD
00281,신동아아파트 앞,영등포구,가마산로 311 앞 복개천 보도,37.49824142,126.8939819,2018-09-28,8,,LCD
00282,신한은행 대림동지점,영등포구,시흥대로 617,37.48752975,126.9048767,2018-09-28,10,,LCD
00283,아크로타워 스퀘어(영등포시장),영등포구,영등포구 영등포동7가 3-2,37.52251816,126.9072189,2018-09-28,15,,LCD
00284,센트럴 푸르지오 시티 앞,영등포구,문래로 180,37.51821136,126.9022293,2018-09-28,12,,LCD
00285,대림3동사거리(하나은행),영등포구,가마산로 343,37.49985886,126.8972397,2018-09-28,14,,LCD
00286,우성아파트 교차로,영등포구,대림로 153 ,37.49457169,126.8997498,2018-09-28,8,,LCD
00287,영등포전화국사거리 (서강어린이공원),영등포구,영등포동8가 29-1,37.52576828,126.9057388,2018-09-28,10,,LCD
00288,쌍용예가(구청별관),영등포구,당산로31길 32 서측(구청별관 주변),37.52809906,126.8933868,2018-12-06,10,,LCD
00289,대림3동사거리,영등포구,가마산로 352 커피베이 앞,37.49980927,126.8980026,2018-11-21,10,,LCD
00290,당산동 SK V1 빌딩,영등포구,영등포구 당산동4가 89-1,37.5315094,126.8978272,2018-12-04,12,,LCD
00291,문래동 하이테크 시티,영등포구,영등포구 문래동3가 55-21,37.51385117,126.89888,2018-11-21,14,,LCD
00292,영일 어린이공원,영등포구,영등포구 영등포동 647-3,37.51012039,126.904068,2018-11-21,10,,LCD
00293,충북 미래관,영등포구,영등포구 당산동 121-258,37.52917099,126.9075775,2018-12-04,15,,LCD
00295,영등포공원 분수대 앞,영등포구,영등포구 신길로 275,37.51481247,126.911705,2020-03-04,,10 ,QR
00296,KT플라자 영등포점,영등포구,영등포구 영중로 119,37.52630234,126.9053803,2020-03-05,,15 ,QR
00297,국회3문,영등포구,영등포구 여의동로 330,37.52863693,126.912674,2020-03-06,,10 ,QR
00298,KBS 연구동 건너편,영등포구,영등포구 여의도동 1-877,37.52750778,126.914299,2020-03-05,,25 ,QR
00299,여의도 순복음교회,영등포구,영등포구 여의도동 8,37.53179169,126.9224548,2020-03-06,,10 ,QR
00300,정동사거리,중구,서울특별시 중구 정동길 2-1,37.56805038,126.9692307,2015-10-07,,6,QR
00301,경복궁역 7번출구 앞,종로구,서울특별시 종로구 사직로 지하130,37.57579422,126.9714508,2015-10-07,20,,LCD
00302,경복궁역 4번출구 뒤,종로구,서울특별시 종로구 사직로 지하130,37.57594681,126.9740601,2015-10-07,,12,QR
00303,광화문역 1번출구 앞,종로구,서울특별시 종로구 세종대로 지하189,37.57176971,126.9746628,2015-10-07,,8,QR
00306,광화문역 7번출구 앞,종로구,서울특별시 종로구 세종대로 지하172,37.57080841,126.9764328,2015-10-07,19,,LCD
00307,서울역사박물관 앞,종로구,서울특별시 종로구 새문안로 55,37.56999969,126.9710999,2015-10-07,,11,QR
00308,광화문 S타워 앞,종로구,서울특별시 종로구 새문안로 82,37.56996918,126.973938,2021-02-15,,31,QR
00309,광화문역 6번출구 옆,종로구,서울특별시 종로구 세종대로 지하172,37.56996155,126.9761581,2015-10-07,,13,QR
00310,청계광장 옆,중구,서울특별시 중구 세종대로 137,37.56887817,126.9774704,2021-11-03,,8,QR
00314,국립현대미술관,종로구,서울특별시 종로구 삼청로 30,37.5797081,126.9808579,2015-10-07,,10,QR
00316,종각역 1번출구 앞,종로구,서울특별시 종로구 종로 47,37.57039642,126.9817886,2015-10-07,,8,QR
00318,광교사거리 남측,중구,서울특별시 중구 청계천로 30,37.56863403,126.9823151,2015-10-07,10,,LCD
00320,을지로입구역 4번출구 앞,중구,서울특별시 중구 을지로 55,37.56622314,126.9835892,2021-11-04,,20,QR
00321,KEB 하나금융그룹 명동사옥 옆,중구,서울특별시 중구 을지로 66,37.56546402,126.9841385,2015-10-07,15,,LCD
00322,명동성당 앞,중구,서울특별시 중구 명동길 74,37.56447601,126.986969,2015-10-07,10,,LCD
00324,신세계백화점 본점 앞,중구,서울특별시 중구 퇴계로 77,37.56143188,126.9806976,2015-10-07,,10,QR
00326,안국역 5번출구 앞,종로구,서울특별시 종로구 율곡로 지하62,37.57624054,126.9861603,2015-10-07,18,,LCD
00327,낙원상가 옆,종로구,서울특별시 종로구 삼일대로 428,37.57335663,126.9874649,2015-10-07,,10,QR
00328,탑골공원 앞,종로구,서울특별시 종로구 종로 99,37.57039642,126.9881897,2015-10-07,,11,QR
00329,청계2가 사거리 옆,종로구,서울특별시 종로구 청계천로 93,37.56848526,126.9878845,2015-10-07,8,,LCD
00331,을지로2가 사거리 북측,중구,서울특별시 중구 을지로 79,37.56638336,126.9872055,2020-08-10,,10,QR
00332,을지로2가 사거리 남측,중구,중구 을지로2가 149-10 ,37.56599045,126.987793,2021-11-03,,5,QR
00334,종로3가역 2번출구 뒤,종로구,서울특별시 종로구 종로 지하129,37.5705986,126.9917908,2015-10-07,,10,QR
00335,종로3가역 15번출구 앞,종로구,서울특별시 종로구 종로 지하129,37.57019806,126.9912567,2015-10-07,,10,QR
00336,티마크 호텔 앞,중구,서울특별시 중구 충무로 15,37.5614624,126.9931107,2015-10-07,,10,QR
00337,창경궁 입구,종로구,서울특별시 종로구 창경궁로 185,37.57897949,126.9964752,2015-10-07,5,,LCD
00338,세운스퀘어 앞,종로구,서울특별시 종로구 창경궁로 109,37.57095718,126.9971237,2015-10-07,18,,LCD
00339,종로4가 사거리,종로구,서울특별시 종로구 종로 185,37.57106781,126.9981918,2015-10-07,10,,LCD
00340,혜화동 로터리,종로구,서울특별시 종로구 창경궁로 271-1,37.58562851,127.000679,2015-10-07,,8,QR
00341,혜화역 3번출구 뒤,종로구,서울특별시 종로구 대학로 지하120,37.58156967,127.0017853,2015-10-07,,8,QR
00342,대학로 마로니에공원,종로구,서울특별시 종로구 대학로 105,37.57978439,127.002533,2021-08-12,,22,QR
00343,예일빌딩(율곡로) 앞,종로구,서울특별시 종로구 율곡로 238,37.57543182,127.004982,2021-01-15,,6,QR
00344,성균관대 E하우스 앞,종로구,서울특별시 종로구 율곡로 259,37.57403564,127.0067215,2015-10-07,10,,LCD
00345,서울보증보험본사 앞,종로구,서울특별시 종로구 김상옥로 29,37.57330704,127.0007095,2015-10-07,18,,LCD
00346,맥스타일 앞,중구,서울특별시 중구 마장로 3,37.56918335,127.0098801,2015-10-07,,10,QR
00347,동대문역사문화공원역 9번출구 앞,중구,서울특별시 중구 장충단로 지하230,37.56533051,127.007843,2015-10-07,18,,LCD
00348,독립문역 사거리,종로구,서울특별시 종로구 교북동 10-1,37.57202911,126.9607849,2016-06-01,14,,LCD
00349,사직동주민센터,종로구,서울특별시 종로구 사직로9길 5,37.57633209,126.9685898,2016-06-01,7,,LCD
00351,청운초교 앞 삼거리,종로구,서울특별시 종로구 청운동 108-22,37.58507919,126.9706192,2016-06-01,8,,LCD
00352,중앙고입구 삼거리,종로구,서울특별시 종로구 창덕궁길 191,37.58341599,126.9852371,2016-06-01,10,,LCD
00353,재동초교 앞 삼거리,종로구,서울특별시 종로구 재동 19,37.57938766,126.9849472,2016-06-01,8,,LCD
00354,포르투갈 대사관 앞,종로구,서울특별시 종로구 창덕궁1길 3,37.57915497,126.9889603,2016-06-01,10,,LCD
00355,서울사대부속초교 앞,종로구,서울특별시 종로구 연건동 178-3,37.57650757,127.0024567,2016-06-01,15,,LCD
00356,KT혜화지사 앞,종로구,서울특별시 종로구 대학로 65,37.57714462,127.0020599,2016-06-01,15,15,QR
00358,성대입구 사거리,종로구,서울특별시 종로구 창경궁로 234,37.58250046,126.9985352,2016-06-01,13,,LCD
00359,원남동사거리,종로구,서울특별시 종로구 율곡로 169,37.57606125,126.9976807,2016-06-01,8,,LCD
00361,동묘앞역 1번출구 뒤,종로구,서울특별시 종로구 숭인동 81-39,37.57324219,127.0159073,2016-06-01,10,,LCD
00362,청계8가 사거리,종로구,서울특별시 종로구 청계천로 407,37.57222366,127.0227051,2016-06-01,10,,LCD
00363,신설동역 11번출구 뒤,종로구,서울특별시 종로구 숭인동 1311,37.57559204,127.02285,2016-06-01,13,,LCD
